,base_model_type,dense_units_list,dropout_percent,output_activation,learning_rate,batch_size,ID,val_loss
14,mobilenetv2,"[128, 64, 32]",0.0,sigmoid,0.0001,32,14,0.0054260450415313
39,vgg16,"[128, 64, 32]",0.2,sigmoid,0.0001,16,39,0.0067020328715443
37,vgg16,"[128, 64, 32]",0.2,sigmoid,0.001,16,37,0.0073064481839537
36,vgg16,"[128, 64, 32]",0.2,sigmoid,0.001,32,36,0.0073925452306866
55,vgg16,"[32, 16]",0.2,sigmoid,0.0001,16,55,0.007435695733875
15,mobilenetv2,"[128, 64, 32]",0.0,sigmoid,0.0001,16,15,0.0077844830229878
31,mobilenetv2,"[32, 16]",0.0,sigmoid,0.0001,16,31,0.0082917986437678
38,vgg16,"[128, 64, 32]",0.2,sigmoid,0.0001,32,38,0.0084298774600029
43,vgg16,"[128, 64, 32]",0.0,linear,0.0001,16,43,0.0086237164214253
53,vgg16,"[32, 16]",0.2,sigmoid,0.001,16,53,0.0091596832498908
40,vgg16,"[128, 64, 32]",0.0,linear,0.001,32,40,0.0093992939218878
45,vgg16,"[128, 64, 32]",0.0,sigmoid,0.001,16,45,0.0096611250191926
54,vgg16,"[32, 16]",0.2,sigmoid,0.0001,32,54,0.009712983854115
57,vgg16,"[32, 16]",0.0,linear,0.001,16,57,0.0098138721659779
42,vgg16,"[128, 64, 32]",0.0,linear,0.0001,32,42,0.0102169336751103
41,vgg16,"[128, 64, 32]",0.0,linear,0.001,16,41,0.0104207769036293
32,vgg16,"[128, 64, 32]",0.2,linear,0.001,32,32,0.0106169776991009
56,vgg16,"[32, 16]",0.0,linear,0.001,32,56,0.0106599451974034
6,mobilenetv2,"[128, 64, 32]",0.2,sigmoid,0.0001,32,6,0.0107739893719553
7,mobilenetv2,"[128, 64, 32]",0.2,sigmoid,0.0001,16,7,0.0110210608690977
63,vgg16,"[32, 16]",0.0,sigmoid,0.0001,16,63,0.0111987954005599
59,vgg16,"[32, 16]",0.0,linear,0.0001,16,59,0.0112874349579215
30,mobilenetv2,"[32, 16]",0.0,sigmoid,0.0001,32,30,0.0113920988515019
52,vgg16,"[32, 16]",0.2,sigmoid,0.001,32,52,0.0116226579993963
62,vgg16,"[32, 16]",0.0,sigmoid,0.0001,32,62,0.0122439162805676
22,mobilenetv2,"[32, 16]",0.2,sigmoid,0.0001,32,22,0.0123063484206795
46,vgg16,"[128, 64, 32]",0.0,sigmoid,0.0001,32,46,0.0123347332701087
47,vgg16,"[128, 64, 32]",0.0,sigmoid,0.0001,16,47,0.0126131847500801
50,vgg16,"[32, 16]",0.2,linear,0.0001,32,50,0.0138129582628607
58,vgg16,"[32, 16]",0.0,linear,0.0001,32,58,0.0140944151207804
23,mobilenetv2,"[32, 16]",0.2,sigmoid,0.0001,16,23,0.0141878258436918
49,vgg16,"[32, 16]",0.2,linear,0.001,16,49,0.0144200064241886
60,vgg16,"[32, 16]",0.0,sigmoid,0.001,32,60,0.0151497088372707
48,vgg16,"[32, 16]",0.2,linear,0.001,32,48,0.0161499362438917
33,vgg16,"[128, 64, 32]",0.2,linear,0.001,16,33,0.0168758053332567
51,vgg16,"[32, 16]",0.2,linear,0.0001,16,51,0.0174932871013879
34,vgg16,"[128, 64, 32]",0.2,linear,0.0001,32,34,0.0199816152453422
35,vgg16,"[128, 64, 32]",0.2,linear,0.0001,16,35,0.0204616077244281
11,mobilenetv2,"[128, 64, 32]",0.0,linear,0.0001,16,11,0.0233838763087987
29,mobilenetv2,"[32, 16]",0.0,sigmoid,0.001,16,29,0.0253539569675922
2,mobilenetv2,"[128, 64, 32]",0.2,linear,0.0001,32,2,0.0312227457761764
18,mobilenetv2,"[32, 16]",0.2,linear,0.0001,32,18,0.0324694812297821
9,mobilenetv2,"[128, 64, 32]",0.0,linear,0.001,16,9,0.0327641852200031
1,mobilenetv2,"[128, 64, 32]",0.2,linear,0.001,16,1,0.0343486182391643
17,mobilenetv2,"[32, 16]",0.2,linear,0.001,16,17,0.0343588627874851
25,mobilenetv2,"[32, 16]",0.0,linear,0.001,16,25,0.034358873963356
16,mobilenetv2,"[32, 16]",0.2,linear,0.001,32,16,0.0343634150922298
19,mobilenetv2,"[32, 16]",0.2,linear,0.0001,16,19,0.034365028142929
24,mobilenetv2,"[32, 16]",0.0,linear,0.001,32,24,0.0343721136450767
0,mobilenetv2,"[128, 64, 32]",0.2,linear,0.001,32,0,0.0343770869076252
26,mobilenetv2,"[32, 16]",0.0,linear,0.0001,32,26,0.0344037413597106
3,mobilenetv2,"[128, 64, 32]",0.2,linear,0.0001,16,3,0.0366650559008121
61,vgg16,"[32, 16]",0.0,sigmoid,0.001,16,61,0.0493659079074859
27,mobilenetv2,"[32, 16]",0.0,linear,0.0001,16,27,0.0534097105264663
44,vgg16,"[128, 64, 32]",0.0,sigmoid,0.001,32,44,0.0594716891646385
21,mobilenetv2,"[32, 16]",0.2,sigmoid,0.001,16,21,0.0779454261064529
20,mobilenetv2,"[32, 16]",0.2,sigmoid,0.001,32,20,0.0782226026058197
5,mobilenetv2,"[128, 64, 32]",0.2,sigmoid,0.001,16,5,0.0822030752897262
13,mobilenetv2,"[128, 64, 32]",0.0,sigmoid,0.001,16,13,0.0971103236079216
12,mobilenetv2,"[128, 64, 32]",0.0,sigmoid,0.001,32,12,0.0983574166893959
28,mobilenetv2,"[32, 16]",0.0,sigmoid,0.001,32,28,0.1052902862429618
10,mobilenetv2,"[128, 64, 32]",0.0,linear,0.0001,32,10,0.1133490726351738
8,mobilenetv2,"[128, 64, 32]",0.0,linear,0.001,32,8,0.1246644705533981
4,mobilenetv2,"[128, 64, 32]",0.2,sigmoid,0.001,32,4,0.149991363286972
